Block,Hash,Date,Previous Hash,Signature,Coin,Difficulty,Daddy,Time
0,101,01-12-2023 15:19:45,,,,,False,0
1,1001,17-04-2023 15:17:01,101.0,,,,False,0
2,100,17-04-2023 15:19:13,1001.0,,,,False,132
3,110,17-04-2023 15:22:43,100.0,,,,False,210
4,101,17-04-2023 15:23:17,110.0,,,,False,34
5,110,17-04-2023 15:25:00,101.0,,,,False,103
5,1111,17-04-2023 15:25:07,101.0,,,,False,7
5,1100,17-04-2023 15:25:14,101.0,,,,False,7
6,1,17-04-2023 15:26:12,1100.0,,,,False,58
7,1101,17-04-2023 15:26:27,1.0,,,,False,15
7,1,17-04-2023 15:26:39,1.0,,,,False,12
8,100,17-04-2023 15:27:08,1.0,,,,False,29
9,111,17-04-2023 15:28:21,100.0,,,,False,73
10,111,17-04-2023 15:29:11,111.0,,,,False,50
11,100,17-04-2023 15:30:13,111.0,,,,False,62
12,10,17-04-2023 15:30:54,100.0,,,,False,41
13,110,17-04-2023 15:32:14,10.0,,,,False,80
13,1,17-04-2023 15:32:17,10.0,,,,False,3
14,11,17-04-2023 15:32:55,1.0,,,,False,38
15,10,17-04-2023 15:34:20,11.0,,,,False,85
16,1,17-04-2023 15:34:48,10.0,,,,False,28
16,11,17-04-2023 15:35:01,10.0,,,,False,13
17,11,17-04-2023 15:35:39,11.0,,,,False,38
18,11,17-04-2023 15:36:47,11.0,,,,False,68
19,10,17-04-2023 15:37:29,11.0,,,,False,42
20,1,17-04-2023 15:38:44,10.0,,,,False,75
20,0,17-04-2023 15:38:47,10.0,,,,False,3
21,10,17-04-2023 15:39:33,0.0,,,,False,46
22,11,17-04-2023 15:40:02,10.0,,,,False,29
23,0,17-04-2023 15:40:44,11.0,,,,False,42
24,0,17-04-2023 15:44:10,0.0,,,,False,206
25,0,17-04-2023 15:49:07,0.0,,,,False,297
26,1,17-04-2023 15:53:52,0.0,,,,False,285
27,1,17-04-2023 15:55:52,1.0,,,,False,120
28,0,17-04-2023 15:56:45,1.0,,,,False,53
29,0,17-04-2023 15:58:20,0.0,,,,False,95
30,0,17-04-2023 15:58:37,0.0,,,,False,17
30,1,17-04-2023 15:58:42,0.0,,,,False,5
31,1,17-04-2023 16:03:46,1.0,,,,False,304
32,1,17-04-2023 16:05:37,1.0,,,,False,111
32,10,17-04-2023 16:05:40,1.0,,,,False,3
32,0,17-04-2023 16:05:51,1.0,,,,False,11
32,1,17-04-2023 16:05:52,1.0,,,,False,1
32,1,17-04-2023 16:05:52,1.0,,,,False,0
32,0,17-04-2023 16:05:56,1.0,,,,False,4
33,11,17-04-2023 16:06:54,0.0,,,,False,58
33,0,17-04-2023 16:08:00,0.0,,,,False,66
33,10,17-04-2023 16:08:04,0.0,,,,False,4
34,11,17-04-2023 16:09:04,10.0,,,,False,60
34,1,17-04-2023 16:09:07,10.0,,,,False,3
1,0,17-04-2023 16:09:49,101.0,,,,False,42
35,1,17-04-2023 16:18:14,1.0,,,,False,505
35,0,17-04-2023 16:18:31,1.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,17
35,0,17-04-2023 16:19:00,1.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,29
31,0,17-04-2023 16:19:02,1.0,,,,False,2
35,0,17-04-2023 16:19:05,1.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,3
31,1,17-04-2023 16:19:11,1.0,,,,False,6
31,1,17-04-2023 16:19:22,1.0,,,,False,11
31,1,17-04-2023 16:19:32,1.0,,,,False,10
31,0,17-04-2023 16:19:38,1.0,,,,False,6
31,10,17-04-2023 16:19:43,1.0,,,,False,5
31,0,17-04-2023 16:19:45,1.0,,,,False,2
31,11,17-04-2023 16:19:55,1.0,,,,False,10
31,11,17-04-2023 16:20:10,1.0,,,,False,15
31,0,17-04-2023 16:20:13,1.0,,,,False,3
36,0,17-04-2023 16:20:37,0.0,,,,False,24
36,0,17-04-2023 16:20:49,0.0,,,,False,12
36,0,17-04-2023 16:20:52,0.0,,,,False,3
36,10,17-04-2023 16:20:57,0.0,,,,False,5
36,0,17-04-2023 16:21:02,0.0,,,,False,5
36,0,17-04-2023 16:21:04,0.0,,,,False,2
36,0,17-04-2023 16:21:13,0.0,,,,False,9
37,0,17-04-2023 16:21:26,0.0,,,,False,13
37,1,17-04-2023 16:21:29,0.0,,,,False,3
37,0,17-04-2023 16:21:35,0.0,,,,False,6
37,1,17-04-2023 16:21:38,0.0,,,,False,3
37,1,17-04-2023 16:22:19,0.0,,,,False,41
38,1,17-04-2023 16:24:00,1.0,,,,False,101
38,0,17-04-2023 16:24:49,1.0,,,,False,49
38,0,17-04-2023 16:24:54,1.0,,,,False,5
38,0,17-04-2023 16:25:16,1.0,,,,False,22
39,0,17-04-2023 16:25:23,0.0,,,,False,7
39,0,17-04-2023 16:25:24,0.0,,,,False,1
40,0,17-04-2023 16:25:47,0.0,,,,False,23
38,0,17-04-2023 16:25:56,0.0,0d2bc1d9036efaa5b033bdc9aaa4259fc4a6708fd00e8fcb958ac181c05850d15ea387407f621047f3b58539cfb0ec6031a0bff1ec8fb967c46d059d7fdb5c01,,,False,9
39,0,17-04-2023 16:26:22,0.0,,,,False,26
38,0,17-04-2023 16:26:29,1.0,,,,False,7
41,0,17-04-2023 16:26:30,0.0,,,,False,1
39,0,17-04-2023 16:26:43,0.0,da16d68b1770a773d078e09b21a06a997c6401e811c7adb57e4509ac56a01e3414ac2672c53df2d9f20f233c0940dcdf44d7af0a378d8383f8211e6c4bef8100,23.0,,False,13
42,0,17-04-2023 16:27:07,0.0,,,,False,24
43,0,17-04-2023 16:27:18,0.0,,,,False,11
38,0,17-04-2023 16:27:33,1.0,,,,False,15
44,0,17-04-2023 16:28:35,0.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,62
45,0,17-04-2023 16:29:37,0.0,5e98ffa29ff974ddfce6e0a77c39d488c0b1ffa642dfed5246b3838293a39324be6e6f667297586852870d78bdc3706ffd540635f155e05a64e714e9498c220f,13.0,,False,62
46,0,17-04-2023 16:30:21,0.0,,,,False,44
47,0,17-04-2023 16:30:40,0.0,,,,False,19
48,0,17-04-2023 16:31:07,0.0,,,,False,27
47,0,17-04-2023 16:31:11,0.0,15ff9d699f56c53a9d31935630c449c529de13d6eca747ec819a752258e0b4b24e48e0edc5a2d6b22b77fa25e79dea5d559b8df4fbee722446898318c8479c05,,,False,4
47,0,17-04-2023 16:31:20,0.0,,,,False,9
